date,route,day_of_week,month,price,promo_flag,bookings,revenue
2024-07-19,DXB-BKK,4,7,360.62,0,427,153982.7
2024-07-20,DXB-BKK,5,7,360.19,0,431,155243.21
2024-07-21,DXB-BKK,6,7,362.08,0,347,125643.32
2024-07-22,DXB-BKK,0,7,359.22,0,300,107765.08
2024-07-23,DXB-BKK,1,7,358.55,0,324,116170.17
2024-07-24,DXB-BKK,2,7,359.18,0,324,116375.66
2024-07-25,DXB-BKK,3,7,359.83,0,393,141413.17
2024-07-26,DXB-BKK,4,7,361.82,0,421,152324.85
2024-07-27,DXB-BKK,5,7,363.57,0,412,149790.59
2024-07-28,DXB-BKK,6,7,363.09,0,339,123088.89
2024-07-29,DXB-BKK,0,7,364.99,0,326,118988.22
2024-07-30,DXB-BKK,1,7,363.87,0,291,105886.7
2024-07-31,DXB-BKK,2,7,365.21,0,307,112120.75
2024-08-01,DXB-BKK,3,8,367.87,0,333,122501.92
2024-08-02,DXB-BKK,4,8,369.64,0,380,140462.23
2024-08-03,DXB-BKK,5,8,369.74,0,427,157876.92
2024-08-04,DXB-BKK,6,8,369.17,0,349,128841.83
2024-08-05,DXB-BKK,0,8,366.82,0,300,110044.76
2024-08-06,DXB-BKK,1,8,367.21,0,273,100249.39
2024-08-07,DXB-BKK,2,8,287.21,1,478,137286.3
2024-08-08,DXB-BKK,3,8,364.21,0,336,122374.17
2024-08-09,DXB-BKK,4,8,362.35,0,391,141678.09
2024-08-10,DXB-BKK,5,8,361.58,0,397,143547.46
2024-08-11,DXB-BKK,6,8,361.46,0,372,134462.87
2024-08-12,DXB-BKK,0,8,361.79,0,306,110707.21
2024-08-13,DXB-BKK,1,8,360.8,0,301,108601.94
2024-08-14,DXB-BKK,2,8,362.32,0,322,116667.59
2024-08-15,DXB-BKK,3,8,361.92,0,393,142235.02
2024-08-16,DXB-BKK,4,8,360.65,0,404,145702.24
2024-08-17,DXB-BKK,5,8,360.9,0,396,142914.75
2024-08-18,DXB-BKK,6,8,363.75,0,343,124764.95
2024-08-19,DXB-BKK,0,8,364.15,0,290,105604.02
2024-08-20,DXB-BKK,1,8,363.51,0,276,100328.24
2024-08-21,DXB-BKK,2,8,361.12,0,298,107612.37
2024-08-22,DXB-BKK,3,8,360.68,0,328,118303.84
2024-08-23,DXB-BKK,4,8,360.93,0,390,140762.25
2024-08-24,DXB-BKK,5,8,360.24,0,366,131847.59
2024-08-25,DXB-BKK,6,8,357.63,0,373,133396.32
2024-08-26,DXB-BKK,0,8,275.48,1,479,131953.77
2024-08-27,DXB-BKK,1,8,358.31,0,294,105343.04
2024-08-28,DXB-BKK,2,8,360.34,0,303,109184.18
2024-08-29,DXB-BKK,3,8,358.89,0,328,117717.52
2024-08-30,DXB-BKK,4,8,359.78,0,376,135278.37
2024-08-31,DXB-BKK,5,8,357.89,0,414,148167.2
2024-09-01,DXB-BKK,6,9,359.87,0,322,115879.07
2024-09-02,DXB-BKK,0,9,360.11,0,266,95790.13
2024-09-03,DXB-BKK,1,9,361.41,0,297,107338.22
2024-09-04,DXB-BKK,2,9,358.7,0,306,109763.37
2024-09-05,DXB-BKK,3,9,359.59,0,311,111831.4
2024-09-06,DXB-BKK,4,9,359.44,0,349,125444.26
2024-09-07,DXB-BKK,5,9,360.58,0,358,129087.33
2024-09-08,DXB-BKK,6,9,361.81,0,314,113608.8
2024-09-09,DXB-BKK,0,9,361.77,0,282,102018.61
2024-09-10,DXB-BKK,1,9,307.89,1,357,109915.59
2024-09-11,DXB-BKK,2,9,361.75,0,281,101650.7
2024-09-12,DXB-BKK,3,9,361.51,0,312,112790.48
2024-09-13,DXB-BKK,4,9,360.05,0,354,127457.22
2024-09-14,DXB-BKK,5,9,358.52,0,381,136594.72
2024-09-15,DXB-BKK,6,9,356.15,0,326,116103.75
2024-09-16,DXB-BKK,0,9,355.22,0,313,111185.42
2024-09-17,DXB-BKK,1,9,356.72,0,292,104162.52
2024-09-18,DXB-BKK,2,9,356.83,0,268,95629.83
2024-09-19,DXB-BKK,3,9,355.87,0,342,121707.93
2024-09-20,DXB-BKK,4,9,356.91,0,374,133486.05
2024-09-21,DXB-BKK,5,9,276.43,1,552,152587.57
2024-09-22,DXB-BKK,6,9,355.48,0,301,106998.09
2024-09-23,DXB-BKK,0,9,355.04,0,291,103315.58
2024-09-24,DXB-BKK,1,9,356.03,0,283,100757.5
2024-09-25,DXB-BKK,2,9,353.49,0,278,98271.44
2024-09-26,DXB-BKK,3,9,352.04,0,306,107725.42
2024-09-27,DXB-BKK,4,9,349.41,0,370,129281.49
2024-09-28,DXB-BKK,5,9,277.57,1,552,153221.36
2024-09-29,DXB-BKK,6,9,350.48,0,329,115307.12
2024-09-30,DXB-BKK,0,9,286.05,1,407,116422.73
2024-10-01,DXB-BKK,1,10,290.02,1,365,105858.91
2024-10-02,DXB-BKK,2,10,349.71,0,295,103163.85
2024-10-03,DXB-BKK,3,10,251.4,1,591,148578.84
2024-10-04,DXB-BKK,4,10,350.8,0,360,126288.13
2024-10-05,DXB-BKK,5,10,351.64,0,344,120962.8
2024-10-06,DXB-BKK,6,10,300.9,1,417,125475.51
2024-10-07,DXB-BKK,0,10,307.76,1,339,104329.17
2024-10-08,DXB-BKK,1,10,354.73,0,287,101806.38
2024-10-09,DXB-BKK,2,10,355.31,0,300,106592.89
2024-10-10,DXB-BKK,3,10,351.98,0,301,105946.94
2024-10-11,DXB-BKK,4,10,350.94,0,384,134762.59
2024-10-12,DXB-BKK,5,10,351.66,0,356,125191.04
2024-10-13,DXB-BKK,6,10,350.82,0,367,128752.08
2024-10-14,DXB-BKK,0,10,352.52,0,291,102584.74
2024-10-15,DXB-BKK,1,10,353.2,0,263,92891.33
2024-10-16,DXB-BKK,2,10,351.93,0,278,97836.42
2024-10-17,DXB-BKK,3,10,351.77,0,341,119952.43
2024-10-18,DXB-BKK,4,10,350.21,0,360,126076.69
2024-10-19,DXB-BKK,5,10,349.72,0,383,133944.57
2024-10-20,DXB-BKK,6,10,348.68,0,372,129707.8
2024-10-21,DXB-BKK,0,10,350.22,0,283,99112.7
2024-10-22,DXB-BKK,1,10,353.18,0,286,101008.5
2024-10-23,DXB-BKK,2,10,350.81,0,326,114363.84
2024-10-24,DXB-BKK,3,10,347.7,0,346,120305.09
2024-10-25,DXB-BKK,4,10,347.11,0,338,117323.65
2024-10-26,DXB-BKK,5,10,344.61,0,407,140255.83
2024-10-27,DXB-BKK,6,10,344.45,0,322,110913.53
2024-10-28,DXB-BKK,0,10,266.58,1,496,132223.18
2024-10-29,DXB-BKK,1,10,347.36,0,278,96566.02
2024-10-30,DXB-BKK,2,10,347.43,0,360,125075.3
2024-10-31,DXB-BKK,3,10,346.91,0,373,129397.37
2024-11-01,DXB-BKK,4,11,343.71,0,363,124766.39
2024-11-02,DXB-BKK,5,11,274.51,1,571,156743.36
2024-11-03,DXB-BKK,6,11,343.38,0,365,125335.49
2024-11-04,DXB-BKK,0,11,344.11,0,319,109769.88
2024-11-05,DXB-BKK,1,11,342.81,0,308,105583.96
2024-11-06,DXB-BKK,2,11,341.91,0,339,115908.44
2024-11-07,DXB-BKK,3,11,339.45,0,354,120167.02
2024-11-08,DXB-BKK,4,11,335.78,0,389,130616.76
2024-11-09,DXB-BKK,5,11,333.87,0,410,136886.54
2024-11-10,DXB-BKK,6,11,331.27,0,391,129526.38
2024-11-11,DXB-BKK,0,11,331.53,0,333,110399.09
2024-11-12,DXB-BKK,1,11,330.5,0,326,107744.52
2024-11-13,DXB-BKK,2,11,329.45,0,353,116295.58
2024-11-14,DXB-BKK,3,11,327.72,0,334,109459.61
2024-11-15,DXB-BKK,4,11,322.62,0,436,140664.15
2024-11-16,DXB-BKK,5,11,324.64,0,449,145761.22
2024-11-17,DXB-BKK,6,11,322.88,0,432,139485.16
2024-11-18,DXB-BKK,0,11,322.01,0,314,101111.17
2024-11-19,DXB-BKK,1,11,319.57,0,376,120159.5
2024-11-20,DXB-BKK,2,11,320.78,0,360,115479.14
2024-11-21,DXB-BKK,3,11,320.73,0,413,132463.1
2024-11-22,DXB-BKK,4,11,319.24,0,490,156425.98
2024-11-23,DXB-BKK,5,11,318.39,0,484,154100.63
2024-11-24,DXB-BKK,6,11,320.65,0,417,133709.98
2024-11-25,DXB-BKK,0,11,320.28,0,364,116580.99
2024-11-26,DXB-BKK,1,11,319.74,0,344,109991.74
2024-11-27,DXB-BKK,2,11,318.07,0,374,118957.81
2024-11-28,DXB-BKK,3,11,314.96,0,410,129135.21
2024-11-29,DXB-BKK,4,11,314.46,0,472,148425.02
2024-11-30,DXB-BKK,5,11,314.68,0,427,134369.68
2024-12-01,DXB-BKK,6,12,316.07,0,445,140649.69
2024-12-02,DXB-BKK,0,12,312.43,0,387,120909.41
2024-12-03,DXB-BKK,1,12,259.64,1,506,131375.71
2024-12-04,DXB-BKK,2,12,309.33,0,416,128682.6
2024-12-05,DXB-BKK,3,12,309.06,0,422,130422.93
2024-12-06,DXB-BKK,4,12,308.57,0,570,175885.98
2024-12-07,DXB-BKK,5,12,308.12,0,535,164843.68
2024-12-08,DXB-BKK,6,12,308.46,0,469,144667.81
2024-12-09,DXB-BKK,0,12,306.83,0,396,121506.06
2024-12-10,DXB-BKK,1,12,307.96,0,412,126880.48
2024-12-11,DXB-BKK,2,12,308.34,0,468,144302.89
2024-12-12,DXB-BKK,3,12,307.59,0,517,159022.03
2024-12-13,DXB-BKK,4,12,309.71,0,557,172510.28
2024-12-14,DXB-BKK,5,12,311.77,0,567,176775.32
2024-12-15,DXB-BKK,6,12,312.9,0,469,146748.7
2024-12-16,DXB-BKK,0,12,308.09,0,395,121696.83
2024-12-17,DXB-BKK,1,12,310.19,0,414,128416.68
2024-12-18,DXB-BKK,2,12,311.1,0,431,134084.27
2024-12-19,DXB-BKK,3,12,313.83,0,512,160682.26
2024-12-20,DXB-BKK,4,12,315.41,0,534,168429.38
2024-12-21,DXB-BKK,5,12,317.5,0,593,188277.48
2024-12-22,DXB-BKK,6,12,231.13,1,843,194843.16
2024-12-23,DXB-BKK,0,12,320.28,0,397,127152.34
2024-12-24,DXB-BKK,1,12,253.62,1,517,131123.66
2024-12-25,DXB-BKK,2,12,323.04,0,444,143429.5
2024-12-26,DXB-BKK,3,12,232.31,1,836,194214.61
2024-12-27,DXB-BKK,4,12,319.66,0,465,148641.38
2024-12-28,DXB-BKK,5,12,319.96,0,573,183338.7
2024-12-29,DXB-BKK,6,12,319.79,0,468,149663.54
2024-12-30,DXB-BKK,0,12,317.64,0,407,129280.5
2024-12-31,DXB-BKK,1,12,314.91,0,436,137302.55
2025-01-01,DXB-BKK,2,1,313.52,0,398,124781.09
2025-01-02,DXB-BKK,3,1,222.42,1,740,164594.11
2025-01-03,DXB-BKK,4,1,316.54,0,456,144341.21
2025-01-04,DXB-BKK,5,1,317.63,0,478,151827.13
2025-01-05,DXB-BKK,6,1,318.93,0,391,124702.94
2025-01-06,DXB-BKK,0,1,318.53,0,351,111803.75
2025-01-07,DXB-BKK,1,1,315.63,0,330,104158.9
2025-01-08,DXB-BKK,2,1,314.67,0,359,112965.48
2025-01-09,DXB-BKK,3,1,314.0,0,402,126226.28
2025-01-10,DXB-BKK,4,1,312.97,0,436,136453.55
2025-01-11,DXB-BKK,5,1,223.59,1,816,182448.02
2025-01-12,DXB-BKK,6,1,313.14,0,405,126823.48
2025-01-13,DXB-BKK,0,1,270.59,1,472,127717.92
2025-01-14,DXB-BKK,1,1,313.44,0,320,100300.83
2025-01-15,DXB-BKK,2,1,310.3,0,373,115742.34
2025-01-16,DXB-BKK,3,1,309.29,0,426,131759.1
2025-01-17,DXB-BKK,4,1,309.08,0,455,140629.62
2025-01-18,DXB-BKK,5,1,310.63,0,475,147547.95
2025-01-19,DXB-BKK,6,1,309.49,0,382,118226.19
2025-01-20,DXB-BKK,0,1,309.98,0,377,116861.96
2025-01-21,DXB-BKK,1,1,310.13,0,375,116299.2
2025-01-22,DXB-BKK,2,1,309.91,0,389,120556.78
2025-01-23,DXB-BKK,3,1,311.03,0,446,138718.56
2025-01-24,DXB-BKK,4,1,309.75,0,468,144965.28
2025-01-25,DXB-BKK,5,1,308.61,0,500,154305.14
2025-01-26,DXB-BKK,6,1,308.31,0,430,132573.69
2025-01-27,DXB-BKK,0,1,307.07,0,391,120064.14
2025-01-28,DXB-BKK,1,1,307.55,0,332,102106.75
2025-01-29,DXB-BKK,2,1,306.2,0,365,111763.01
2025-01-30,DXB-BKK,3,1,306.26,0,472,144554.32
2025-01-31,DXB-BKK,4,1,305.83,0,404,123554.89
2025-02-01,DXB-BKK,5,2,305.87,0,490,149877.14
2025-02-02,DXB-BKK,6,2,304.9,0,465,141779.85
2025-02-03,DXB-BKK,0,2,304.12,0,380,115563.88
2025-02-04,DXB-BKK,1,2,303.98,0,366,111257.09
2025-02-05,DXB-BKK,2,2,304.01,0,394,119778.49
2025-02-06,DXB-BKK,3,2,303.72,0,429,130296.99
2025-02-07,DXB-BKK,4,2,306.0,0,475,145351.74
2025-02-08,DXB-BKK,5,2,304.24,0,479,145731.49
2025-02-09,DXB-BKK,6,2,303.87,0,467,141906.77
2025-02-10,DXB-BKK,0,2,233.97,1,633,148103.8
2025-02-11,DXB-BKK,1,2,301.52,0,377,113671.68
2025-02-12,DXB-BKK,2,2,299.57,0,368,110241.5
2025-02-13,DXB-BKK,3,2,298.88,0,436,130310.9
2025-02-14,DXB-BKK,4,2,298.05,0,490,146043.08
2025-02-15,DXB-BKK,5,2,298.2,0,533,158938.51
2025-02-16,DXB-BKK,6,2,297.1,0,428,127156.75
2025-02-17,DXB-BKK,0,2,295.93,0,383,113341.66
2025-02-18,DXB-BKK,1,2,297.81,0,401,119423.69
2025-02-19,DXB-BKK,2,2,297.97,0,429,127829.96
2025-02-20,DXB-BKK,3,2,296.86,0,440,130619.06
2025-02-21,DXB-BKK,4,2,296.22,0,462,136852.31
2025-02-22,DXB-BKK,5,2,298.42,0,620,185019.05
2025-02-23,DXB-BKK,6,2,297.8,0,476,141752.1
2025-02-24,DXB-BKK,0,2,296.5,0,395,117117.05
2025-02-25,DXB-BKK,1,2,295.21,0,416,122805.89
2025-02-26,DXB-BKK,2,2,294.12,0,413,121471.02
2025-02-27,DXB-BKK,3,2,292.96,0,492,144138.17
2025-02-28,DXB-BKK,4,2,290.78,0,523,152078.97
2025-03-01,DXB-BKK,5,3,288.83,0,550,158858.84
2025-03-02,DXB-BKK,6,3,287.33,0,479,137630.96
2025-03-03,DXB-BKK,0,3,287.96,0,385,110863.67
2025-03-04,DXB-BKK,1,3,287.13,0,463,132939.85
2025-03-05,DXB-BKK,2,3,286.56,0,410,117489.08
2025-03-06,DXB-BKK,3,3,288.21,0,442,127387.6
2025-03-07,DXB-BKK,4,3,289.89,0,516,149585.37
2025-03-08,DXB-BKK,5,3,289.22,0,516,149235.63
2025-03-09,DXB-BKK,6,3,201.72,1,850,171463.02
2025-03-10,DXB-BKK,0,3,286.47,0,444,127191.5
